"code","group","article","description"
"M24.561","1","A52465","Contracture, right knee"
"M24.562","1","A52465","Contracture, left knee"
"M05.061","2","A52465","Felty's syndrome, right knee"
"M05.062","2","A52465","Felty's syndrome, left knee"
"M05.261","2","A52465","Rheumatoid vasculitis with rheumatoid arthritis of right knee"
"M05.262","2","A52465","Rheumatoid vasculitis with rheumatoid arthritis of left knee"
"M05.361","2","A52465","Rheumatoid heart disease with rheumatoid arthritis of right knee"
"M05.362","2","A52465","Rheumatoid heart disease with rheumatoid arthritis of left knee"
"M05.461","2","A52465","Rheumatoid myopathy with rheumatoid arthritis of right knee"
"M05.462","2","A52465","Rheumatoid myopathy with rheumatoid arthritis of left knee"
"M05.561","2","A52465","Rheumatoid polyneuropathy with rheumatoid arthritis of right knee"
"M05.562","2","A52465","Rheumatoid polyneuropathy with rheumatoid arthritis of left knee"
"M05.661","2","A52465","Rheumatoid arthritis of right knee with involvement of other organs and systems"
"M05.662","2","A52465","Rheumatoid arthritis of left knee with involvement of other organs and systems"
"M05.761","2","A52465","Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement"
"M05.762","2","A52465","Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement"
"M05.861","2","A52465","Other rheumatoid arthritis with rheumatoid factor of right knee"
"M05.862","2","A52465","Other rheumatoid arthritis with rheumatoid factor of left knee"
"M06.061","2","A52465","Rheumatoid arthritis without rheumatoid factor, right knee"
"M06.062","2","A52465","Rheumatoid arthritis without rheumatoid factor, left knee"
"M06.1","2","A52465","Adult-onset Still's disease"
"M06.261","2","A52465","Rheumatoid bursitis, right knee"
"M06.262","2","A52465","Rheumatoid bursitis, left knee"
"M06.361","2","A52465","Rheumatoid nodule, right knee"
"M06.362","2","A52465","Rheumatoid nodule, left knee"
"M06.861","2","A52465","Other specified rheumatoid arthritis, right knee"
"M06.862","2","A52465","Other specified rheumatoid arthritis, left knee"
"M08.061","2","A52465","Unspecified juvenile rheumatoid arthritis, right knee"
"M08.062","2","A52465","Unspecified juvenile rheumatoid arthritis, left knee"
"M08.261","2","A52465","Juvenile rheumatoid arthritis with systemic onset, right knee"
"M08.262","2","A52465","Juvenile rheumatoid arthritis with systemic onset, left knee"
"M08.3","2","A52465","Juvenile rheumatoid polyarthritis (seronegative)"
"M08.461","2","A52465","Pauciarticular juvenile rheumatoid arthritis, right knee"
"M08.462","2","A52465","Pauciarticular juvenile rheumatoid arthritis, left knee"
"M08.861","2","A52465","Other juvenile arthritis, right knee"
"M08.862","2","A52465","Other juvenile arthritis, left knee"
"M08.961","2","A52465","Juvenile arthritis, unspecified, right knee"
"M08.962","2","A52465","Juvenile arthritis, unspecified, left knee"
"M12.061","2","A52465","Chronic postrheumatic arthropathy (Jaccoud), right knee"
"M12.062","2","A52465","Chronic postrheumatic arthropathy (Jaccoud), left knee"
"M17.0","2","A52465","Bilateral primary osteoarthritis of knee"
"M17.11","2","A52465","Unilateral primary osteoarthritis, right knee"
"M17.12","2","A52465","Unilateral primary osteoarthritis, left knee"
"M17.2","2","A52465","Bilateral post-traumatic osteoarthritis of knee"
"M17.31","2","A52465","Unilateral post-traumatic osteoarthritis, right knee"
"M17.32","2","A52465","Unilateral post-traumatic osteoarthritis, left knee"
"M17.4","2","A52465","Other bilateral secondary osteoarthritis of knee"
"M17.5","2","A52465","Other unilateral secondary osteoarthritis of knee"
"M17.9","2","A52465","Osteoarthritis of knee, unspecified"
"M22.2X1","2","A52465","Patellofemoral disorders, right knee"
"M22.2X2","2","A52465","Patellofemoral disorders, left knee"
"M22.3X1","2","A52465","Other derangements of patella, right knee"
"M22.3X2","2","A52465","Other derangements of patella, left knee"
"M22.41","2","A52465","Chondromalacia patellae, right knee"
