"code","group","article","description"
"E08.69","1","A58833","Diabetes mellitus due to underlying condition with other specified complication"
"E09.69","1","A58833","Drug or chemical induced diabetes mellitus with other specified complication"
"E10.69","1","A58833","Type 1 diabetes mellitus with other specified complication"
"E11.69","1","A58833","Type 2 diabetes mellitus with other specified complication"
"E13.69","1","A58833","Other specified diabetes mellitus with other specified complication"
"E84.19","1","A58833","Cystic fibrosis with other intestinal manifestations"
"E84.8","1","A58833","Cystic fibrosis with other manifestations"
"E84.9","1","A58833","Cystic fibrosis, unspecified"
"K50.018","1","A58833","Crohn's disease of small intestine with other complication"
"K50.118","1","A58833","Crohn's disease of large intestine with other complication"
"K50.818","1","A58833","Crohn's disease of both small and large intestine with other complication"
"K50.918","1","A58833","Crohn's disease, unspecified, with other complication"
"K51.818","1","A58833","Other ulcerative colitis with other complication"
"K51.918","1","A58833","Ulcerative colitis, unspecified with other complication"
"K86.0","1","A58833","Alcohol-induced chronic pancreatitis"
"K86.1","1","A58833","Other chronic pancreatitis"
"K86.81","1","A58833","Exocrine pancreatic insufficiency"
"K90.0","1","A58833","Celiac disease"
"Q45.3","1","A58833","Other congenital malformations of pancreas and pancreatic duct"
"Z90.410","1","A58833","Acquired total absence of pancreas"
"Z90.411","1","A58833","Acquired partial absence of pancreas"
