"code","group","article","description"
"L89.003","1","A52468","Pressure ulcer of unspecified elbow, stage 3"
"L89.004","1","A52468","Pressure ulcer of unspecified elbow, stage 4"
"L89.013","1","A52468","Pressure ulcer of right elbow, stage 3"
"L89.014","1","A52468","Pressure ulcer of right elbow, stage 4"
"L89.023","1","A52468","Pressure ulcer of left elbow, stage 3"
"L89.024","1","A52468","Pressure ulcer of left elbow, stage 4"
"L89.103","1","A52468","Pressure ulcer of unspecified part of back, stage 3"
"L89.104","1","A52468","Pressure ulcer of unspecified part of back, stage 4"
"L89.113","1","A52468","Pressure ulcer of right upper back, stage 3"
"L89.114","1","A52468","Pressure ulcer of right upper back, stage 4"
"L89.123","1","A52468","Pressure ulcer of left upper back, stage 3"
"L89.124","1","A52468","Pressure ulcer of left upper back, stage 4"
"L89.133","1","A52468","Pressure ulcer of right lower back, stage 3"
"L89.134","1","A52468","Pressure ulcer of right lower back, stage 4"
"L89.143","1","A52468","Pressure ulcer of left lower back, stage 3"
"L89.144","1","A52468","Pressure ulcer of left lower back, stage 4"
"L89.153","1","A52468","Pressure ulcer of sacral region, stage 3"
"L89.154","1","A52468","Pressure ulcer of sacral region, stage 4"
"L89.203","1","A52468","Pressure ulcer of unspecified hip, stage 3"
"L89.204","1","A52468","Pressure ulcer of unspecified hip, stage 4"
"L89.213","1","A52468","Pressure ulcer of right hip, stage 3"
"L89.214","1","A52468","Pressure ulcer of right hip, stage 4"
"L89.223","1","A52468","Pressure ulcer of left hip, stage 3"
"L89.224","1","A52468","Pressure ulcer of left hip, stage 4"
"L89.303","1","A52468","Pressure ulcer of unspecified buttock, stage 3"
"L89.304","1","A52468","Pressure ulcer of unspecified buttock, stage 4"
"L89.313","1","A52468","Pressure ulcer of right buttock, stage 3"
"L89.314","1","A52468","Pressure ulcer of right buttock, stage 4"
"L89.323","1","A52468","Pressure ulcer of left buttock, stage 3"
"L89.324","1","A52468","Pressure ulcer of left buttock, stage 4"
"L89.43","1","A52468","Pressure ulcer of contiguous site of back, buttock and hip, stage 3"
"L89.44","1","A52468","Pressure ulcer of contiguous site of back, buttock and hip, stage 4"
"L89.503","1","A52468","Pressure ulcer of unspecified ankle, stage 3"
"L89.504","1","A52468","Pressure ulcer of unspecified ankle, stage 4"
"L89.513","1","A52468","Pressure ulcer of right ankle, stage 3"
"L89.514","1","A52468","Pressure ulcer of right ankle, stage 4"
"L89.523","1","A52468","Pressure ulcer of left ankle, stage 3"
"L89.524","1","A52468","Pressure ulcer of left ankle, stage 4"
"L89.603","1","A52468","Pressure ulcer of unspecified heel, stage 3"
"L89.604","1","A52468","Pressure ulcer of unspecified heel, stage 4"
"L89.613","1","A52468","Pressure ulcer of right heel, stage 3"
"L89.614","1","A52468","Pressure ulcer of right heel, stage 4"
"L89.623","1","A52468","Pressure ulcer of left heel, stage 3"
"L89.624","1","A52468","Pressure ulcer of left heel, stage 4"
"L89.813","1","A52468","Pressure ulcer of head, stage 3"
"L89.814","1","A52468","Pressure ulcer of head, stage 4"
"L89.893","1","A52468","Pressure ulcer of other site, stage 3"
"L89.894","1","A52468","Pressure ulcer of other site, stage 4"
"L89.93","1","A52468","Pressure ulcer of unspecified site, stage 3"
"L89.94","1","A52468","Pressure ulcer of unspecified site, stage 4"
