"code","group","article","description"
"J95.00","1","A52519","Unspecified tracheostomy complication"
"J95.01","1","A52519","Hemorrhage from tracheostomy stoma"
"J95.02","1","A52519","Infection of tracheostomy stoma"
"J95.03","1","A52519","Malfunction of tracheostomy stoma"
"J95.04","1","A52519","Tracheo-esophageal fistula following tracheostomy"
"J95.09","1","A52519","Other tracheostomy complication"
"Z43.0","1","A52519","Encounter for attention to tracheostomy"
"Z93.0","1","A52519","Tracheostomy status"
