"code","group","article","description"
"I21.01","1","A52458","ST elevation (STEMI) myocardial infarction involving left main coronary artery"
"I21.02","1","A52458","ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery"
"I21.09","1","A52458","ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall"
"I21.11","1","A52458","ST elevation (STEMI) myocardial infarction involving right coronary artery"
"I21.19","1","A52458","ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall"
"I21.21","1","A52458","ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery"
"I21.29","1","A52458","ST elevation (STEMI) myocardial infarction involving other sites"
"I21.3","1","A52458","ST elevation (STEMI) myocardial infarction of unspecified site"
"I21.4","1","A52458","Non-ST elevation (NSTEMI) myocardial infarction"
"I21.B","1","A52458","Myocardial infarction with coronary microvascular dysfunction"
"I22.0","1","A52458","Subsequent ST elevation (STEMI) myocardial infarction of anterior wall"
"I22.1","1","A52458","Subsequent ST elevation (STEMI) myocardial infarction of inferior wall"
"I22.2","1","A52458","Subsequent non-ST elevation (NSTEMI) myocardial infarction"
"I22.8","1","A52458","Subsequent ST elevation (STEMI) myocardial infarction of other sites"
"I22.9","1","A52458","Subsequent ST elevation (STEMI) myocardial infarction of unspecified site"
"I25.2","1","A52458","Old myocardial infarction"
"I25.5","1","A52458","Ischemic cardiomyopathy"
"I42.1","1","A52458","Obstructive hypertrophic cardiomyopathy"
"I42.2","1","A52458","Other hypertrophic cardiomyopathy"
"I45.81","1","A52458","Long QT syndrome"
"I46.2","1","A52458","Cardiac arrest due to underlying cardiac condition"
"I46.8","1","A52458","Cardiac arrest due to other underlying condition"
"I46.9","1","A52458","Cardiac arrest, cause unspecified"
"I47.0","1","A52458","Re-entry ventricular arrhythmia"
"I47.20","1","A52458","Ventricular tachycardia, unspecified"
"I47.21","1","A52458","Torsades de pointes"
"I47.29","1","A52458","Other ventricular tachycardia"
"I49.01","1","A52458","Ventricular fibrillation"
"I49.02","1","A52458","Ventricular flutter"
"I50.1","1","A52458","Left ventricular failure, unspecified"
"I50.20","1","A52458","Unspecified systolic (congestive) heart failure"
"I50.21","1","A52458","Acute systolic (congestive) heart failure"
"I50.22","1","A52458","Chronic systolic (congestive) heart failure"
"I50.23","1","A52458","Acute on chronic systolic (congestive) heart failure"
"I50.30","1","A52458","Unspecified diastolic (congestive) heart failure"
"I50.31","1","A52458","Acute diastolic (congestive) heart failure"
"I50.32","1","A52458","Chronic diastolic (congestive) heart failure"
"I50.33","1","A52458","Acute on chronic diastolic (congestive) heart failure"
"I50.40","1","A52458","Unspecified combined systolic (congestive) and diastolic (congestive) heart failure"
"I50.41","1","A52458","Acute combined systolic (congestive) and diastolic (congestive) heart failure"
"I50.42","1","A52458","Chronic combined systolic (congestive) and diastolic (congestive) heart failure"
"I50.43","1","A52458","Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure"
"I50.810","1","A52458","Right heart failure, unspecified"
