"code","group","article","description"
"J95.00","1","A52492","Unspecified tracheostomy complication"
"J95.01","1","A52492","Hemorrhage from tracheostomy stoma"
"J95.02","1","A52492","Infection of tracheostomy stoma"
"J95.03","1","A52492","Malfunction of tracheostomy stoma"
"J95.04","1","A52492","Tracheo-esophageal fistula following tracheostomy"
"J95.09","1","A52492","Other tracheostomy complication"
"Z43.0","1","A52492","Encounter for attention to tracheostomy"
"Z90.02","1","A52492","Acquired absence of larynx"
"Z93.0","1","A52492","Tracheostomy status"
"Z96.3","1","A52492","Presence of artificial larynx"
