"code","group","article","description"
"C00.0","1","A52480","Malignant neoplasm of external upper lip"
"C00.1","1","A52480","Malignant neoplasm of external lower lip"
"C00.3","1","A52480","Malignant neoplasm of upper lip, inner aspect"
"C00.4","1","A52480","Malignant neoplasm of lower lip, inner aspect"
"C00.6","1","A52480","Malignant neoplasm of commissure of lip, unspecified"
"C00.8","1","A52480","Malignant neoplasm of overlapping sites of lip"
"C01","1","A52480","Malignant neoplasm of base of tongue"
"C02.0","1","A52480","Malignant neoplasm of dorsal surface of tongue"
"C02.1","1","A52480","Malignant neoplasm of border of tongue"
"C02.2","1","A52480","Malignant neoplasm of ventral surface of tongue"
"C02.3","1","A52480","Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
"C02.4","1","A52480","Malignant neoplasm of lingual tonsil"
"C02.8","1","A52480","Malignant neoplasm of overlapping sites of tongue"
"C03.0","1","A52480","Malignant neoplasm of upper gum"
"C03.1","1","A52480","Malignant neoplasm of lower gum"
"C04.0","1","A52480","Malignant neoplasm of anterior floor of mouth"
"C04.1","1","A52480","Malignant neoplasm of lateral floor of mouth"
"C04.8","1","A52480","Malignant neoplasm of overlapping sites of floor of mouth"
"C05.0","1","A52480","Malignant neoplasm of hard palate"
"C05.1","1","A52480","Malignant neoplasm of soft palate"
"C05.2","1","A52480","Malignant neoplasm of uvula"
"C05.8","1","A52480","Malignant neoplasm of overlapping sites of palate"
"C06.0","1","A52480","Malignant neoplasm of cheek mucosa"
"C06.1","1","A52480","Malignant neoplasm of vestibule of mouth"
"C06.2","1","A52480","Malignant neoplasm of retromolar area"
"C06.80","1","A52480","Malignant neoplasm of overlapping sites of unspecified parts of mouth"
"C06.89","1","A52480","Malignant neoplasm of overlapping sites of other parts of mouth"
"C07","1","A52480","Malignant neoplasm of parotid gland"
"C08.0","1","A52480","Malignant neoplasm of submandibular gland"
"C08.1","1","A52480","Malignant neoplasm of sublingual gland"
"C08.9","1","A52480","Malignant neoplasm of major salivary gland, unspecified"
"C09.0","1","A52480","Malignant neoplasm of tonsillar fossa"
"C09.1","1","A52480","Malignant neoplasm of tonsillar pillar (anterior) (posterior)"
"C09.8","1","A52480","Malignant neoplasm of overlapping sites of tonsil"
"C10.0","1","A52480","Malignant neoplasm of vallecula"
"C10.1","1","A52480","Malignant neoplasm of anterior surface of epiglottis"
"C10.2","1","A52480","Malignant neoplasm of lateral wall of oropharynx"
"C10.3","1","A52480","Malignant neoplasm of posterior wall of oropharynx"
"C10.4","1","A52480","Malignant neoplasm of branchial cleft"
"C10.8","1","A52480","Malignant neoplasm of overlapping sites of oropharynx"
"C11.0","1","A52480","Malignant neoplasm of superior wall of nasopharynx"
"C11.1","1","A52480","Malignant neoplasm of posterior wall of nasopharynx"
"C11.2","1","A52480","Malignant neoplasm of lateral wall of nasopharynx"
"C11.3","1","A52480","Malignant neoplasm of anterior wall of nasopharynx"
"C11.8","1","A52480","Malignant neoplasm of overlapping sites of nasopharynx"
"C12","1","A52480","Malignant neoplasm of pyriform sinus"
"C13.0","1","A52480","Malignant neoplasm of postcricoid region"
"C13.1","1","A52480","Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect"
"C13.2","1","A52480","Malignant neoplasm of posterior wall of hypopharynx"
"C13.8","1","A52480","Malignant neoplasm of overlapping sites of hypopharynx"
"C14.0","1","A52480","Malignant neoplasm of pharynx, unspecified"
"C14.2","1","A52480","Malignant neoplasm of Waldeyer's ring"
"C14.8","1","A52480","Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx"
"C15.3","1","A52480","Malignant neoplasm of upper third of esophagus"
"C15.4","1","A52480","Malignant neoplasm of middle third of esophagus"
"C15.5","1","A52480","Malignant neoplasm of lower third of esophagus"
"C15.8","1","A52480","Malignant neoplasm of overlapping sites of esophagus"
"C16.0","1","A52480","Malignant neoplasm of cardia"
"C16.1","1","A52480","Malignant neoplasm of fundus of stomach"
"C16.2","1","A52480","Malignant neoplasm of body of stomach"
"C16.3","1","A52480","Malignant neoplasm of pyloric antrum"
"C16.4","1","A52480","Malignant neoplasm of pylorus"
"C16.5","1","A52480","Malignant neoplasm of lesser curvature of stomach, unspecified"
"C16.6","1","A52480","Malignant neoplasm of greater curvature of stomach, unspecified"
"C16.8","1","A52480","Malignant neoplasm of overlapping sites of stomach"
"C17.0","1","A52480","Malignant neoplasm of duodenum"
"C17.1","1","A52480","Malignant neoplasm of jejunum"
"C17.2","1","A52480","Malignant neoplasm of ileum"
"C17.3","1","A52480","Meckel's diverticulum, malignant"
"C17.8","1","A52480","Malignant neoplasm of overlapping sites of small intestine"
"C17.9","1","A52480","Malignant neoplasm of small intestine, unspecified"
"C18.0","1","A52480","Malignant neoplasm of cecum"
"C18.1","1","A52480","Malignant neoplasm of appendix"
"C18.2","1","A52480","Malignant neoplasm of ascending colon"
"C18.3","1","A52480","Malignant neoplasm of hepatic flexure"
"C18.4","1","A52480","Malignant neoplasm of transverse colon"
"C18.5","1","A52480","Malignant neoplasm of splenic flexure"
"C18.6","1","A52480","Malignant neoplasm of descending colon"
"C18.7","1","A52480","Malignant neoplasm of sigmoid colon"
"C18.8","1","A52480","Malignant neoplasm of overlapping sites of colon"
"C19","1","A52480","Malignant neoplasm of rectosigmoid junction"
"C20","1","A52480","Malignant neoplasm of rectum"
"C21.0","1","A52480","Malignant neoplasm of anus, unspecified"
"C21.1","1","A52480","Malignant neoplasm of anal canal"
"C21.2","1","A52480","Malignant neoplasm of cloacogenic zone"
"C21.8","1","A52480","Malignant neoplasm of overlapping sites of rectum, anus and anal canal"
"C22.0","1","A52480","Liver cell carcinoma"
"C22.1","1","A52480","Intrahepatic bile duct carcinoma"
"C22.2","1","A52480","Hepatoblastoma"
"C22.3","1","A52480","Angiosarcoma of liver"
"C22.4","1","A52480","Other sarcomas of liver"
"C22.7","1","A52480","Other specified carcinomas of liver"
"C22.8","1","A52480","Malignant neoplasm of liver, primary, unspecified as to type"
"C22.9","1","A52480","Malignant neoplasm of liver, not specified as primary or secondary"
"C23","1","A52480","Malignant neoplasm of gallbladder"
"C24.0","1","A52480","Malignant neoplasm of extrahepatic bile duct"
"C24.1","1","A52480","Malignant neoplasm of ampulla of Vater"
"C24.8","1","A52480","Malignant neoplasm of overlapping sites of biliary tract"
"C24.9","1","A52480","Malignant neoplasm of biliary tract, unspecified"
