"code","group","article","description"
"T86.00","1","A52474","Unspecified complication of bone marrow transplant"
"T86.01","1","A52474","Bone marrow transplant rejection"
"T86.02","1","A52474","Bone marrow transplant failure"
"T86.03","1","A52474","Bone marrow transplant infection"
"T86.09","1","A52474","Other complications of bone marrow transplant"
"T86.10","1","A52474","Unspecified complication of kidney transplant"
"T86.11","1","A52474","Kidney transplant rejection"
"T86.12","1","A52474","Kidney transplant failure"
"T86.13","1","A52474","Kidney transplant infection"
"T86.19","1","A52474","Other complication of kidney transplant"
"T86.20","1","A52474","Unspecified complication of heart transplant"
"T86.21","1","A52474","Heart transplant rejection"
"T86.22","1","A52474","Heart transplant failure"
"T86.23","1","A52474","Heart transplant infection"
"T86.290","1","A52474","Cardiac allograft vasculopathy"
"T86.298","1","A52474","Other complications of heart transplant"
"T86.30","1","A52474","Unspecified complication of heart-lung transplant"
"T86.31","1","A52474","Heart-lung transplant rejection"
"T86.32","1","A52474","Heart-lung transplant failure"
"T86.33","1","A52474","Heart-lung transplant infection"
"T86.39","1","A52474","Other complications of heart-lung transplant"
"T86.40","1","A52474","Unspecified complication of liver transplant"
"T86.41","1","A52474","Liver transplant rejection"
"T86.42","1","A52474","Liver transplant failure"
"T86.43","1","A52474","Liver transplant infection"
"T86.49","1","A52474","Other complications of liver transplant"
"T86.5","1","A52474","Complications of stem cell transplant"
"T86.810","1","A52474","Lung transplant rejection"
"T86.811","1","A52474","Lung transplant failure"
"T86.812","1","A52474","Lung transplant infection"
"T86.818","1","A52474","Other complications of lung transplant"
"T86.819","1","A52474","Unspecified complication of lung transplant"
"T86.830","1","A52474","Bone graft rejection"
"T86.831","1","A52474","Bone graft failure"
"T86.832","1","A52474","Bone graft infection"
"T86.838","1","A52474","Other complications of bone graft"
"T86.839","1","A52474","Unspecified complication of bone graft"
"T86.850","1","A52474","Intestine transplant rejection"
"T86.851","1","A52474","Intestine transplant failure"
"T86.852","1","A52474","Intestine transplant infection"
"T86.858","1","A52474","Other complications of intestine transplant"
"T86.859","1","A52474","Unspecified complication of intestine transplant"
"T86.890","1","A52474","Other transplanted tissue rejection"
"T86.891","1","A52474","Other transplanted tissue failure"
"T86.892","1","A52474","Other transplanted tissue infection"
"T86.898","1","A52474","Other complications of other transplanted tissue"
"T86.899","1","A52474","Unspecified complication of other transplanted tissue"
"Z48.21","1","A52474","Encounter for aftercare following heart transplant"
"Z48.22","1","A52474","Encounter for aftercare following kidney transplant"
"Z48.23","1","A52474","Encounter for aftercare following liver transplant"
"Z48.24","1","A52474","Encounter for aftercare following lung transplant"
"Z48.280","1","A52474","Encounter for aftercare following heart-lung transplant"
"Z48.290","1","A52474","Encounter for aftercare following bone marrow transplant"
"Z48.298","1","A52474","Encounter for aftercare following other organ transplant"
"Z94.0","1","A52474","Kidney transplant status"
"Z94.1","1","A52474","Heart transplant status"
"Z94.2","1","A52474","Lung transplant status"
"Z94.3","1","A52474","Heart and lungs transplant status"
"Z94.4","1","A52474","Liver transplant status"
"Z94.81","1","A52474","Bone marrow transplant status"
"Z94.82","1","A52474","Intestine transplant status"
"Z94.83","1","A52474","Pancreas transplant status"
"Z94.84","1","A52474","Stem cells transplant status"
"Z94.89","1","A52474","Other transplanted organ and tissue status"
