"code","group","article","description"
"A15.0","1","A52466","Tuberculosis of lung"
"B20","1","A52466","Human immunodeficiency virus (HIV) disease"
"B59","1","A52466","Pneumocystosis"
"E84.0","1","A52466","Cystic fibrosis with pulmonary manifestations"
"J39.8","1","A52466","Other specified diseases of upper respiratory tract"
"J47.0","1","A52466","Bronchiectasis with acute lower respiratory infection"
"J47.1","1","A52466","Bronchiectasis with (acute) exacerbation"
"J47.9","1","A52466","Bronchiectasis, uncomplicated"
"J98.09","1","A52466","Other diseases of bronchus, not elsewhere classified"
"Q33.4","1","A52466","Congenital bronchiectasis"
"T86.00","1","A52466","Unspecified complication of bone marrow transplant"
"T86.01","1","A52466","Bone marrow transplant rejection"
"T86.02","1","A52466","Bone marrow transplant failure"
"T86.03","1","A52466","Bone marrow transplant infection"
"T86.09","1","A52466","Other complications of bone marrow transplant"
"T86.10","1","A52466","Unspecified complication of kidney transplant"
"T86.11","1","A52466","Kidney transplant rejection"
"T86.12","1","A52466","Kidney transplant failure"
"T86.13","1","A52466","Kidney transplant infection"
"T86.19","1","A52466","Other complication of kidney transplant"
"T86.20","1","A52466","Unspecified complication of heart transplant"
"T86.21","1","A52466","Heart transplant rejection"
"T86.22","1","A52466","Heart transplant failure"
"T86.23","1","A52466","Heart transplant infection"
"T86.290","1","A52466","Cardiac allograft vasculopathy"
"T86.298","1","A52466","Other complications of heart transplant"
"T86.30","1","A52466","Unspecified complication of heart-lung transplant"
"T86.31","1","A52466","Heart-lung transplant rejection"
"T86.32","1","A52466","Heart-lung transplant failure"
"T86.33","1","A52466","Heart-lung transplant infection"
"T86.39","1","A52466","Other complications of heart-lung transplant"
"T86.40","1","A52466","Unspecified complication of liver transplant"
"T86.41","1","A52466","Liver transplant rejection"
"T86.42","1","A52466","Liver transplant failure"
"T86.43","1","A52466","Liver transplant infection"
"T86.49","1","A52466","Other complications of liver transplant"
"T86.5","1","A52466","Complications of stem cell transplant"
"T86.810","1","A52466","Lung transplant rejection"
"T86.811","1","A52466","Lung transplant failure"
"T86.812","1","A52466","Lung transplant infection"
"T86.818","1","A52466","Other complications of lung transplant"
"T86.819","1","A52466","Unspecified complication of lung transplant"
"T86.830","1","A52466","Bone graft rejection"
"T86.831","1","A52466","Bone graft failure"
"T86.832","1","A52466","Bone graft infection"
"T86.838","1","A52466","Other complications of bone graft"
"T86.839","1","A52466","Unspecified complication of bone graft"
"T86.850","1","A52466","Intestine transplant rejection"
"T86.851","1","A52466","Intestine transplant failure"
"T86.852","1","A52466","Intestine transplant infection"
"T86.858","1","A52466","Other complications of intestine transplant"
"T86.859","1","A52466","Unspecified complication of intestine transplant"
"T86.890","1","A52466","Other transplanted tissue rejection"
"T86.891","1","A52466","Other transplanted tissue failure"
"T86.892","1","A52466","Other transplanted tissue infection"
"T86.898","1","A52466","Other complications of other transplanted tissue"
"T86.899","1","A52466","Unspecified complication of other transplanted tissue"
"T86.90","1","A52466","Unspecified complication of unspecified transplanted organ and tissue"
"T86.91","1","A52466","Unspecified transplanted organ and tissue rejection"
"T86.92","1","A52466","Unspecified transplanted organ and tissue failure"
"T86.93","1","A52466","Unspecified transplanted organ and tissue infection"
"T86.99","1","A52466","Other complications of unspecified transplanted organ and tissue"
"Z43.0","1","A52466","Encounter for attention to tracheostomy"
"Z93.0","1","A52466","Tracheostomy status"
"A15.0","2","A52466","Tuberculosis of lung"
"A22.1","2","A52466","Pulmonary anthrax"
"A37.01","2","A52466","Whooping cough due to Bordetella pertussis with pneumonia"
"A37.11","2","A52466","Whooping cough due to Bordetella parapertussis with pneumonia"
"A37.81","2","A52466","Whooping cough due to other Bordetella species with pneumonia"
"A37.91","2","A52466","Whooping cough, unspecified species with pneumonia"
"A48.1","2","A52466","Legionnaires' disease"
"B20","2","A52466","Human immunodeficiency virus (HIV) disease"
"B25.0","2","A52466","Cytomegaloviral pneumonitis"
"B44.0","2","A52466","Invasive pulmonary aspergillosis"
"B59","2","A52466","Pneumocystosis"
"B77.81","2","A52466","Ascariasis pneumonia"
