"code","group","article","description"
"K94.00","1","A52487","Colostomy complication, unspecified"
"K94.03","1","A52487","Colostomy malfunction"
"K94.10","1","A52487","Enterostomy complication, unspecified"
"K94.13","1","A52487","Enterostomy malfunction"
"Z43.2","1","A52487","Encounter for attention to ileostomy"
"Z43.3","1","A52487","Encounter for attention to colostomy"
"Z43.6","1","A52487","Encounter for attention to other artificial openings of urinary tract"
"Z93.2","1","A52487","Ileostomy status"
"Z93.3","1","A52487","Colostomy status"
"Z93.6","1","A52487","Other artificial openings of urinary tract status"
