"code","group","article","description"
"C56.1","1","A52479","Malignant neoplasm of right ovary"
"C56.2","1","A52479","Malignant neoplasm of left ovary"
"C56.3","1","A52479","Malignant neoplasm of bilateral ovaries"
"C56.9","1","A52479","Malignant neoplasm of unspecified ovary"
"C57.00","1","A52479","Malignant neoplasm of unspecified fallopian tube"
"C57.01","1","A52479","Malignant neoplasm of right fallopian tube"
"C57.02","1","A52479","Malignant neoplasm of left fallopian tube"
"C57.10","1","A52479","Malignant neoplasm of unspecified broad ligament"
"C57.11","1","A52479","Malignant neoplasm of right broad ligament"
"C57.12","1","A52479","Malignant neoplasm of left broad ligament"
"C57.20","1","A52479","Malignant neoplasm of unspecified round ligament"
"C57.21","1","A52479","Malignant neoplasm of right round ligament"
"C57.22","1","A52479","Malignant neoplasm of left round ligament"
"C57.3","1","A52479","Malignant neoplasm of parametrium"
"C57.4","1","A52479","Malignant neoplasm of uterine adnexa, unspecified"
"C81.00","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site"
"C81.01","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck"
"C81.02","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes"
"C81.03","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes"
"C81.04","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb"
"C81.05","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
"C81.06","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes"
"C81.07","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, spleen"
"C81.08","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites"
"C81.09","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites"
"C81.0A","1","A52479","Nodular lymphocyte predominant Hodgkin lymphoma, in remission"
"C81.10","1","A52479","Nodular sclerosis Hodgkin lymphoma, unspecified site"
"C81.11","1","A52479","Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck"
"C81.12","1","A52479","Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes"
"C81.13","1","A52479","Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes"
"C81.14","1","A52479","Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb"
"C81.15","1","A52479","Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
