"code","group","article","description"
"D80.0","1","A52509","Hereditary hypogammaglobulinemia"
"D80.2","1","A52509","Selective deficiency of immunoglobulin A (IgA)"
"D80.3","1","A52509","Selective deficiency of immunoglobulin G (IgG) subclasses"
"D80.4","1","A52509","Selective deficiency of immunoglobulin M (IgM)"
"D80.5","1","A52509","Immunodeficiency with increased immunoglobulin M (IgM)"
"D80.6","1","A52509","Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia"
"D80.7","1","A52509","Transient hypogammaglobulinemia of infancy"
"D81.0","1","A52509","Severe combined immunodeficiency (SCID) with reticular dysgenesis"
"D81.1","1","A52509","Severe combined immunodeficiency (SCID) with low T- and B-cell numbers"
"D81.2","1","A52509","Severe combined immunodeficiency (SCID) with low or normal B-cell numbers"
"D81.5","1","A52509","Purine nucleoside phosphorylase (PNP) deficiency"
"D81.6","1","A52509","Major histocompatibility complex class I deficiency"
"D81.7","1","A52509","Major histocompatibility complex class II deficiency"
"D81.82","1","A52509","Activated Phosphoinositide 3-kinase Delta Syndrome (APDS)"
"D81.89","1","A52509","Other combined immunodeficiencies"
"D81.9","1","A52509","Combined immunodeficiency, unspecified"
"D82.0","1","A52509","Wiskott-Aldrich syndrome"
"D82.1","1","A52509","Di George's syndrome"
"D82.4","1","A52509","Hyperimmunoglobulin E (IgE) syndrome"
"D83.0","1","A52509","Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function"
"D83.1","1","A52509","Common variable immunodeficiency with predominant immunoregulatory T-cell disorders"
"D83.2","1","A52509","Common variable immunodeficiency with autoantibodies to B- or T-cells"
"D83.8","1","A52509","Other common variable immunodeficiencies"
"D83.9","1","A52509","Common variable immunodeficiency, unspecified"
"G11.3","1","A52509","Cerebellar ataxia with defective DNA repair"
