"code","group","article","description"
"L89.100","1","A52490","Pressure ulcer of unspecified part of back, unstageable"
"L89.102","1","A52490","Pressure ulcer of unspecified part of back, stage 2"
"L89.103","1","A52490","Pressure ulcer of unspecified part of back, stage 3"
"L89.104","1","A52490","Pressure ulcer of unspecified part of back, stage 4"
"L89.110","1","A52490","Pressure ulcer of right upper back, unstageable"
"L89.112","1","A52490","Pressure ulcer of right upper back, stage 2"
"L89.113","1","A52490","Pressure ulcer of right upper back, stage 3"
"L89.114","1","A52490","Pressure ulcer of right upper back, stage 4"
"L89.120","1","A52490","Pressure ulcer of left upper back, unstageable"
"L89.122","1","A52490","Pressure ulcer of left upper back, stage 2"
"L89.123","1","A52490","Pressure ulcer of left upper back, stage 3"
"L89.124","1","A52490","Pressure ulcer of left upper back, stage 4"
"L89.130","1","A52490","Pressure ulcer of right lower back, unstageable"
"L89.132","1","A52490","Pressure ulcer of right lower back, stage 2"
"L89.133","1","A52490","Pressure ulcer of right lower back, stage 3"
"L89.134","1","A52490","Pressure ulcer of right lower back, stage 4"
"L89.140","1","A52490","Pressure ulcer of left lower back, unstageable"
"L89.142","1","A52490","Pressure ulcer of left lower back, stage 2"
"L89.143","1","A52490","Pressure ulcer of left lower back, stage 3"
"L89.144","1","A52490","Pressure ulcer of left lower back, stage 4"
"L89.150","1","A52490","Pressure ulcer of sacral region, unstageable"
"L89.152","1","A52490","Pressure ulcer of sacral region, stage 2"
"L89.153","1","A52490","Pressure ulcer of sacral region, stage 3"
"L89.154","1","A52490","Pressure ulcer of sacral region, stage 4"
"L89.200","1","A52490","Pressure ulcer of unspecified hip, unstageable"
"L89.202","1","A52490","Pressure ulcer of unspecified hip, stage 2"
"L89.203","1","A52490","Pressure ulcer of unspecified hip, stage 3"
"L89.204","1","A52490","Pressure ulcer of unspecified hip, stage 4"
"L89.210","1","A52490","Pressure ulcer of right hip, unstageable"
"L89.212","1","A52490","Pressure ulcer of right hip, stage 2"
"L89.213","1","A52490","Pressure ulcer of right hip, stage 3"
"L89.214","1","A52490","Pressure ulcer of right hip, stage 4"
"L89.220","1","A52490","Pressure ulcer of left hip, unstageable"
"L89.222","1","A52490","Pressure ulcer of left hip, stage 2"
"L89.223","1","A52490","Pressure ulcer of left hip, stage 3"
"L89.224","1","A52490","Pressure ulcer of left hip, stage 4"
"L89.300","1","A52490","Pressure ulcer of unspecified buttock, unstageable"
"L89.302","1","A52490","Pressure ulcer of unspecified buttock, stage 2"
"L89.303","1","A52490","Pressure ulcer of unspecified buttock, stage 3"
"L89.304","1","A52490","Pressure ulcer of unspecified buttock, stage 4"
"L89.310","1","A52490","Pressure ulcer of right buttock, unstageable"
"L89.312","1","A52490","Pressure ulcer of right buttock, stage 2"
"L89.313","1","A52490","Pressure ulcer of right buttock, stage 3"
"L89.314","1","A52490","Pressure ulcer of right buttock, stage 4"
"L89.320","1","A52490","Pressure ulcer of left buttock, unstageable"
"L89.322","1","A52490","Pressure ulcer of left buttock, stage 2"
"L89.323","1","A52490","Pressure ulcer of left buttock, stage 3"
"L89.324","1","A52490","Pressure ulcer of left buttock, stage 4"
"L89.42","1","A52490","Pressure ulcer of contiguous site of back, buttock and hip, stage 2"
"L89.43","1","A52490","Pressure ulcer of contiguous site of back, buttock and hip, stage 3"
"L89.44","1","A52490","Pressure ulcer of contiguous site of back, buttock and hip, stage 4"
"L89.45","1","A52490","Pressure ulcer of contiguous site of back, buttock and hip, unstageable"
