"code","group","article","description"
"M24.571","1","A52457","Contracture, right ankle"
"M24.572","1","A52457","Contracture, left ankle"
"M24.574","1","A52457","Contracture, right foot"
"M24.575","1","A52457","Contracture, left foot"
"M72.2","1","A52457","Plantar fascial fibromatosis"
"A52.16","2","A52457","Charcot's arthropathy (tabetic)"
"E08.610","2","A52457","Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy"
"E09.610","2","A52457","Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy"
"E10.610","2","A52457","Type 1 diabetes mellitus with diabetic neuropathic arthropathy"
"E11.610","2","A52457","Type 2 diabetes mellitus with diabetic neuropathic arthropathy"
"M14.671","2","A52457","Charcot's joint, right ankle and foot"
"M14.672","2","A52457","Charcot's joint, left ankle and foot"
