Snapshot of one example-suite run, rewritten in full by every run of
that suite. It records what THAT run did; it is not a curated baseline.
To gate CI, use the exit status of testing/run_tests.sh.

Suite:      core (this repository alone; extension-dependent trees excluded)
Command:    testing/run_tests.sh le   (or: runTests)
Sibling:    testSuiteStatus.txt — all (core + trees requiring the proprietary le_extensions.pl)
Generated:  2026-09-23 19:31:52 UTC
SWI-Prolog: 10.1.12
Tree:       /work/

Test Summary:
-------------
Files processed: 351
Total tests:     2592
Passed:          2592
Failed:          0
Errors/Timeouts: 0
-------------

Detailed File Summary:
  [PASS] examples/moreExamples/collections/logical-thinking-talk/standard_for_judgment.le: 8 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/above_transitivity.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/amazing_animals.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/behaviourist_fox.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/bna_citizenship_1_1.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/cause_and_effect.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/equation_solving_goal.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/fox_and_crow.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/genesis_ancestors.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/grass_wet_abduction.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/housing_benefit.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/innocent_until_guilty.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/last_train.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/lease_termination.le: 8 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/library_study.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/naturalisation_schedule1.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/older_brother.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/party_looping.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/party_naf.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/relative_clauses.le: 4 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/thieves_punishment.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/trolley_problem.le: 4 Pass, 0 Fail, 0 Error
  [PASS] examples/moreExamples/collections/kowalski-book/underground_emergency.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/eu261_integration.le: 9 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/flip_housing.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/judged_damage.le: 2 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/loaded_table.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/otherwise_table.le: 2 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/precedent.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/precedent_pattern.le: 4 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/scenario_table.le: 4 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/scoped_notice.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/sections_benefit.le: 8 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/semantic_llm.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/semantic_match.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/apparel_cbp.le: 32 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/apparel_ebti.le: 13 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/customs/by_hand.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/cbp_39.le: 45 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/cbp_61.le: 50 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/cbp_62.le: 30 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/customs/chapter_39.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/customs/chapter_61.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/customs/chapter_62.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/customs/gri.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/heldout_apparel_cbp.le: 11 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/heldout_cbp_2.le: 25 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/heldout_plastics_cbp.le: 5 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/plastics_cbp.le: 22 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/customs/plastics_ebti.le: 4 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/customs/section_xi.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/customs/tariff.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/aeds.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/aeds_cases.le: 24 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/afo_kafo.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/afo_kafo_cases.le: 25 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/all_cases.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/blind_extraction.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/bowel_management.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/bowel_management_cases.le: 22 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/breast_prostheses.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/breast_prostheses_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/canes_crutches.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/canes_crutches_cases.le: 15 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/cervical_traction.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/cervical_traction_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/cold_therapy.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/cold_therapy_cases.le: 13 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/commodes.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/commodes_cases.le: 18 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/council_more.le: 29 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/council_other.le: 27 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/council_pmd.le: 26 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/council_supplies.le: 18 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/dmepos.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/dmepos_all.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/enteral_nutrition.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/enteral_nutrition_cases.le: 21 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/external_infusion_pumps.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/external_infusion_pumps_cases.le: 19 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/eye_prostheses.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/eye_prostheses_cases.le: 17 Pass, 0 Fail, 0 Error
