"code","group","article","description"
"K51.00","1","A56798","Ulcerative (chronic) pancolitis without complications"
"K51.011","1","A56798","Ulcerative (chronic) pancolitis with rectal bleeding"
"K51.012","1","A56798","Ulcerative (chronic) pancolitis with intestinal obstruction"
"K51.013","1","A56798","Ulcerative (chronic) pancolitis with fistula"
"K51.014","1","A56798","Ulcerative (chronic) pancolitis with abscess"
"K51.018","1","A56798","Ulcerative (chronic) pancolitis with other complication"
"K51.20","1","A56798","Ulcerative (chronic) proctitis without complications"
"K51.211","1","A56798","Ulcerative (chronic) proctitis with rectal bleeding"
"K51.212","1","A56798","Ulcerative (chronic) proctitis with intestinal obstruction"
"K51.213","1","A56798","Ulcerative (chronic) proctitis with fistula"
"K51.214","1","A56798","Ulcerative (chronic) proctitis with abscess"
"K51.218","1","A56798","Ulcerative (chronic) proctitis with other complication"
"K51.30","1","A56798","Ulcerative (chronic) rectosigmoiditis without complications"
"K51.311","1","A56798","Ulcerative (chronic) rectosigmoiditis with rectal bleeding"
"K51.312","1","A56798","Ulcerative (chronic) rectosigmoiditis with intestinal obstruction"
"K51.313","1","A56798","Ulcerative (chronic) rectosigmoiditis with fistula"
"K51.314","1","A56798","Ulcerative (chronic) rectosigmoiditis with abscess"
"K51.318","1","A56798","Ulcerative (chronic) rectosigmoiditis with other complication"
"K51.40","1","A56798","Inflammatory polyps of colon without complications"
"K51.411","1","A56798","Inflammatory polyps of colon with rectal bleeding"
"K51.412","1","A56798","Inflammatory polyps of colon with intestinal obstruction"
"K51.413","1","A56798","Inflammatory polyps of colon with fistula"
"K51.414","1","A56798","Inflammatory polyps of colon with abscess"
"K51.418","1","A56798","Inflammatory polyps of colon with other complication"
"K51.50","1","A56798","Left sided colitis without complications"
"K51.511","1","A56798","Left sided colitis with rectal bleeding"
"K51.512","1","A56798","Left sided colitis with intestinal obstruction"
"K51.513","1","A56798","Left sided colitis with fistula"
"K51.514","1","A56798","Left sided colitis with abscess"
"K51.518","1","A56798","Left sided colitis with other complication"
"K52.0","1","A56798","Gastroenteritis and colitis due to radiation"
"K70.2","1","A56798","Alcoholic fibrosis and sclerosis of liver"
"K70.30","1","A56798","Alcoholic cirrhosis of liver without ascites"
"K70.31","1","A56798","Alcoholic cirrhosis of liver with ascites"
"K74.1","1","A56798","Hepatic sclerosis"
"K74.2","1","A56798","Hepatic fibrosis with hepatic sclerosis"
"K74.3","1","A56798","Primary biliary cirrhosis"
"K74.4","1","A56798","Secondary biliary cirrhosis"
"K74.69","1","A56798","Other cirrhosis of liver"
"K76.9","1","A56798","Liver disease, unspecified"
"K83.1","1","A56798","Obstruction of bile duct"
"K90.0","1","A56798","Celiac disease"
"K90.1","1","A56798","Tropical sprue"
"K90.2","1","A56798","Blind loop syndrome, not elsewhere classified"
"K90.3","1","A56798","Pancreatic steatorrhea"
"K90.41","1","A56798","Non-celiac gluten sensitivity"
"K90.49","1","A56798","Malabsorption due to intolerance, not elsewhere classified"
"K90.89","1","A56798","Other intestinal malabsorption"
"K90.9","1","A56798","Intestinal malabsorption, unspecified"
"K91.2","1","A56798","Postsurgical malabsorption, not elsewhere classified"
"M80.00XA","1","A56798","Age-related osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture"
"M80.011A","1","A56798","Age-related osteoporosis with current pathological fracture, right shoulder, initial encounter for fracture"
"M80.012A","1","A56798","Age-related osteoporosis with current pathological fracture, left shoulder, initial encounter for fracture"
"M80.021A","1","A56798","Age-related osteoporosis with current pathological fracture, right humerus, initial encounter for fracture"
"M80.022A","1","A56798","Age-related osteoporosis with current pathological fracture, left humerus, initial encounter for fracture"
"M80.031A","1","A56798","Age-related osteoporosis with current pathological fracture, right forearm, initial encounter for fracture"
"M80.032A","1","A56798","Age-related osteoporosis with current pathological fracture, left forearm, initial encounter for fracture"
"M80.041A","1","A56798","Age-related osteoporosis with current pathological fracture, right hand, initial encounter for fracture"
"M80.042A","1","A56798","Age-related osteoporosis with current pathological fracture, left hand, initial encounter for fracture"
"M80.051A","1","A56798","Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture"
"M80.052A","1","A56798","Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture"
"M80.061A","1","A56798","Age-related osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture"
"M80.062A","1","A56798","Age-related osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture"
"M80.071A","1","A56798","Age-related osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture"
"M80.072A","1","A56798","Age-related osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture"
"M80.08XA","1","A56798","Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
"M80.0B1A","1","A56798","Age-related osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture"
"M80.0B1D","1","A56798","Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with routine healing"
"M80.0B1G","1","A56798","Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with delayed healing"
"M80.0B1K","1","A56798","Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with nonunion"
"M80.0B1P","1","A56798","Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with malunion"
"M80.0B1S","1","A56798","Age-related osteoporosis with current pathological fracture, right pelvis, sequela"
"M80.0B2A","1","A56798","Age-related osteoporosis with current pathological fracture, left pelvis, initial encounter for fracture"
"M80.0B2D","1","A56798","Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with routine healing"
"M80.0B2G","1","A56798","Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with delayed healing"
"M80.0B2K","1","A56798","Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with nonunion"
"M80.0B2P","1","A56798","Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with malunion"
"M80.0B2S","1","A56798","Age-related osteoporosis with current pathological fracture, left pelvis, sequela"
"M81.0","1","A56798","Age-related osteoporosis without current pathological fracture"
"M81.6","1","A56798","Localized osteoporosis (Lequesne)"
"M81.8","1","A56798","Other osteoporosis without current pathological fracture"
"M83.0","1","A56798","Puerperal osteomalacia"
"M83.1","1","A56798","Senile osteomalacia"
"M83.2","1","A56798","Adult osteomalacia due to malabsorption"
"M83.3","1","A56798","Adult osteomalacia due to malnutrition"
"M83.4","1","A56798","Aluminum bone disease"
"M83.5","1","A56798","Other drug-induced osteomalacia in adults"
"M83.8","1","A56798","Other adult osteomalacia"
"M85.80","1","A56798","Other specified disorders of bone density and structure, unspecified site"
"M85.811","1","A56798","Other specified disorders of bone density and structure, right shoulder"
"M85.812","1","A56798","Other specified disorders of bone density and structure, left shoulder"
"M85.821","1","A56798","Other specified disorders of bone density and structure, right upper arm"
"M85.822","1","A56798","Other specified disorders of bone density and structure, left upper arm"
"M85.831","1","A56798","Other specified disorders of bone density and structure, right forearm"
"M85.832","1","A56798","Other specified disorders of bone density and structure, left forearm"
"M85.841","1","A56798","Other specified disorders of bone density and structure, right hand"
"M85.842","1","A56798","Other specified disorders of bone density and structure, left hand"
"M85.851","1","A56798","Other specified disorders of bone density and structure, right thigh"
"M85.852","1","A56798","Other specified disorders of bone density and structure, left thigh"
"M85.861","1","A56798","Other specified disorders of bone density and structure, right lower leg"
"M85.862","1","A56798","Other specified disorders of bone density and structure, left lower leg"
"M85.871","1","A56798","Other specified disorders of bone density and structure, right ankle and foot"
"M85.872","1","A56798","Other specified disorders of bone density and structure, left ankle and foot"
"M85.88","1","A56798","Other specified disorders of bone density and structure, other site"
"M85.89","1","A56798","Other specified disorders of bone density and structure, multiple sites"
"M89.9","1","A56798","Disorder of bone, unspecified"
"M94.9","1","A56798","Disorder of cartilage, unspecified"
"N18.30","1","A56798","Chronic kidney disease, stage 3 unspecified"
"N18.31","1","A56798","Chronic kidney disease, stage 3a"
"N18.32","1","A56798","Chronic kidney disease, stage 3b"
"N18.4","1","A56798","Chronic kidney disease, stage 4 (severe)"
"N18.5","1","A56798","Chronic kidney disease, stage 5"
"N18.6","1","A56798","End stage renal disease"
"N25.81","1","A56798","Secondary hyperparathyroidism of renal origin"
"Q78.2","1","A56798","Osteopetrosis"
"R82.994","1","A56798","Hypercalciuria"
"Z68.30","1","A56798","Body mass index (BMI) 30.0-30.9, adult"
"Z68.31","1","A56798","Body mass index (BMI) 31.0-31.9, adult"
"Z68.32","1","A56798","Body mass index (BMI) 32.0-32.9, adult"
"Z68.33","1","A56798","Body mass index (BMI) 33.0-33.9, adult"
"Z68.34","1","A56798","Body mass index (BMI) 34.0-34.9, adult"
"Z68.35","1","A56798","Body mass index (BMI) 35.0-35.9, adult"
"Z68.36","1","A56798","Body mass index (BMI) 36.0-36.9, adult"
"Z68.37","1","A56798","Body mass index (BMI) 37.0-37.9, adult"
"Z68.38","1","A56798","Body mass index (BMI) 38.0-38.9, adult"
"Z68.39","1","A56798","Body mass index (BMI) 39.0-39.9, adult"
"Z68.41","1","A56798","Body mass index (BMI) 40.0-44.9, adult"
"Z68.42","1","A56798","Body mass index (BMI) 45.0-49.9, adult"
"Z68.43","1","A56798","Body mass index (BMI) 50.0-59.9, adult"
"Z68.44","1","A56798","Body mass index (BMI) 60.0-69.9, adult"
"Z68.45","1","A56798","Body mass index (BMI) 70 or greater, adult"
