"code","group","article","description"
"E20.0","1","A56798","Idiopathic hypoparathyroidism"
"E20.810","1","A56798","Autosomal dominant hypocalcemia"
"E20.811","1","A56798","Secondary hypoparathyroidism in diseases classified elsewhere"
"E20.812","1","A56798","Autoimmune hypoparathyroidism"
"E20.818","1","A56798","Other specified hypoparathyroidism due to impaired parathyroid hormone secretion"
"E20.819","1","A56798","Hypoparathyroidism due to impaired parathyroid hormone secretion, unspecified"
"E20.89","1","A56798","Other specified hypoparathyroidism"
"E20.9","1","A56798","Hypoparathyroidism, unspecified"
"E21.0","1","A56798","Primary hyperparathyroidism"
"E21.1","1","A56798","Secondary hyperparathyroidism, not elsewhere classified"
"E21.2","1","A56798","Other hyperparathyroidism"
"E21.3","1","A56798","Hyperparathyroidism, unspecified"
"E41","1","A56798","Nutritional marasmus"
"E43","1","A56798","Unspecified severe protein-calorie malnutrition"
"E55.0","1","A56798","Rickets, active"
"E55.9","1","A56798","Vitamin D deficiency, unspecified"
"E67.3","1","A56798","Hypervitaminosis D"
"E67.8","1","A56798","Other specified hyperalimentation"
"E68","1","A56798","Sequelae of hyperalimentation"
"E83.31","1","A56798","Familial hypophosphatemia"
"E83.32","1","A56798","Hereditary vitamin D-dependent rickets (type 1) (type 2)"
"E83.39","1","A56798","Other disorders of phosphorus metabolism"
"E83.51","1","A56798","Hypocalcemia"
"E83.52","1","A56798","Hypercalcemia"
"E84.0","1","A56798","Cystic fibrosis with pulmonary manifestations"
"E84.11","1","A56798","Meconium ileus in cystic fibrosis"
"E84.19","1","A56798","Cystic fibrosis with other intestinal manifestations"
"E84.8","1","A56798","Cystic fibrosis with other manifestations"
"E89.2","1","A56798","Postprocedural hypoparathyroidism"
"K50.00","1","A56798","Crohn's disease of small intestine without complications"
"K50.011","1","A56798","Crohn's disease of small intestine with rectal bleeding"
"K50.012","1","A56798","Crohn's disease of small intestine with intestinal obstruction"
"K50.013","1","A56798","Crohn's disease of small intestine with fistula"
"K50.014","1","A56798","Crohn's disease of small intestine with abscess"
"K50.018","1","A56798","Crohn's disease of small intestine with other complication"
"K50.111","1","A56798","Crohn's disease of large intestine with rectal bleeding"
"K50.112","1","A56798","Crohn's disease of large intestine with intestinal obstruction"
"K50.113","1","A56798","Crohn's disease of large intestine with fistula"
"K50.114","1","A56798","Crohn's disease of large intestine with abscess"
"K50.118","1","A56798","Crohn's disease of large intestine with other complication"
"K50.80","1","A56798","Crohn's disease of both small and large intestine without complications"
"K50.811","1","A56798","Crohn's disease of both small and large intestine with rectal bleeding"
"K50.812","1","A56798","Crohn's disease of both small and large intestine with intestinal obstruction"
"K50.813","1","A56798","Crohn's disease of both small and large intestine with fistula"
"K50.814","1","A56798","Crohn's disease of both small and large intestine with abscess"
"K50.818","1","A56798","Crohn's disease of both small and large intestine with other complication"
"K50.90","1","A56798","Crohn's disease, unspecified, without complications"
"K50.911","1","A56798","Crohn's disease, unspecified, with rectal bleeding"
"K50.912","1","A56798","Crohn's disease, unspecified, with intestinal obstruction"
"K50.913","1","A56798","Crohn's disease, unspecified, with fistula"
"K50.914","1","A56798","Crohn's disease, unspecified, with abscess"
"K50.918","1","A56798","Crohn's disease, unspecified, with other complication"
