"code","group","article","description"
"B38.7","1","A59170","Disseminated coccidioidomycosis"
"B38.81","1","A59170","Prostatic coccidioidomycosis"
"B38.89","1","A59170","Other forms of coccidioidomycosis"
"B39.0","1","A59170","Acute pulmonary histoplasmosis capsulati"
"B39.1","1","A59170","Chronic pulmonary histoplasmosis capsulati"
"B39.2","1","A59170","Pulmonary histoplasmosis capsulati, unspecified"
"B39.3","1","A59170","Disseminated histoplasmosis capsulati"
"B39.4","1","A59170","Histoplasmosis capsulati, unspecified"
"B39.5","1","A59170","Histoplasmosis duboisii"
"D86.0","1","A59170","Sarcoidosis of lung"
"D86.1","1","A59170","Sarcoidosis of lymph nodes"
"D86.2","1","A59170","Sarcoidosis of lung with sarcoidosis of lymph nodes"
"D86.3","1","A59170","Sarcoidosis of skin"
"D86.81","1","A59170","Sarcoid meningitis"
"D86.82","1","A59170","Multiple cranial nerve palsies in sarcoidosis"
"D86.83","1","A59170","Sarcoid iridocyclitis"
"D86.84","1","A59170","Sarcoid pyelonephritis"
"D86.85","1","A59170","Sarcoid myocarditis"
"D86.86","1","A59170","Sarcoid arthropathy"
"D86.87","1","A59170","Sarcoid myositis"
"D86.89","1","A59170","Sarcoidosis of other sites"
"E20.0","1","A59170","Idiopathic hypoparathyroidism"
"E20.810","1","A59170","Autosomal dominant hypocalcemia"
"E20.811","1","A59170","Secondary hypoparathyroidism in diseases classified elsewhere"
"E20.812","1","A59170","Autoimmune hypoparathyroidism"
"E20.818","1","A59170","Other specified hypoparathyroidism due to impaired parathyroid hormone secretion"
"E20.89","1","A59170","Other specified hypoparathyroidism"
"E20.9","1","A59170","Hypoparathyroidism, unspecified"
"E21.0","1","A59170","Primary hyperparathyroidism"
"E21.1","1","A59170","Secondary hyperparathyroidism, not elsewhere classified"
"E21.2","1","A59170","Other hyperparathyroidism"
"E21.3","1","A59170","Hyperparathyroidism, unspecified"
"E41","1","A59170","Nutritional marasmus"
"E43","1","A59170","Unspecified severe protein-calorie malnutrition"
"E55.0","1","A59170","Rickets, active"
"E55.9","1","A59170","Vitamin D deficiency, unspecified"
"E67.3","1","A59170","Hypervitaminosis D"
"E67.8","1","A59170","Other specified hyperalimentation"
"E68","1","A59170","Sequelae of hyperalimentation"
"E83.31","1","A59170","Familial hypophosphatemia"
"E83.32","1","A59170","Hereditary vitamin D-dependent rickets (type 1) (type 2)"
"E83.39","1","A59170","Other disorders of phosphorus metabolism"
"E83.51","1","A59170","Hypocalcemia"
"E83.52","1","A59170","Hypercalcemia"
"E84.0","1","A59170","Cystic fibrosis with pulmonary manifestations"
"E84.11","1","A59170","Meconium ileus in cystic fibrosis"
"E84.19","1","A59170","Cystic fibrosis with other intestinal manifestations"
"E84.8","1","A59170","Cystic fibrosis with other manifestations"
"E84.9","1","A59170","Cystic fibrosis, unspecified"
"E89.2","1","A59170","Postprocedural hypoparathyroidism"
"J63.2","1","A59170","Berylliosis"
"K50.00","1","A59170","Crohn's disease of small intestine without complications"
"K50.011","1","A59170","Crohn's disease of small intestine with rectal bleeding"
"K50.012","1","A59170","Crohn's disease of small intestine with intestinal obstruction"
"K50.013","1","A59170","Crohn's disease of small intestine with fistula"
"K50.014","1","A59170","Crohn's disease of small intestine with abscess"
"K50.018","1","A59170","Crohn's disease of small intestine with other complication"
"K50.10","1","A59170","Crohn's disease of large intestine without complications"
"K50.111","1","A59170","Crohn's disease of large intestine with rectal bleeding"
"K50.112","1","A59170","Crohn's disease of large intestine with intestinal obstruction"
"K50.113","1","A59170","Crohn's disease of large intestine with fistula"
"K50.114","1","A59170","Crohn's disease of large intestine with abscess"
"K50.118","1","A59170","Crohn's disease of large intestine with other complication"
"K50.119","1","A59170","Crohn's disease of large intestine with unspecified complications"
"K50.80","1","A59170","Crohn's disease of both small and large intestine without complications"
"K50.811","1","A59170","Crohn's disease of both small and large intestine with rectal bleeding"
"K50.812","1","A59170","Crohn's disease of both small and large intestine with intestinal obstruction"
"K50.813","1","A59170","Crohn's disease of both small and large intestine with fistula"
"K50.814","1","A59170","Crohn's disease of both small and large intestine with abscess"
"K50.818","1","A59170","Crohn's disease of both small and large intestine with other complication"
"K50.819","1","A59170","Crohn's disease of both small and large intestine with unspecified complications"
"K50.90","1","A59170","Crohn's disease, unspecified, without complications"
"K50.911","1","A59170","Crohn's disease, unspecified, with rectal bleeding"
"K50.912","1","A59170","Crohn's disease, unspecified, with intestinal obstruction"
"K50.913","1","A59170","Crohn's disease, unspecified, with fistula"
"K50.914","1","A59170","Crohn's disease, unspecified, with abscess"
"K50.918","1","A59170","Crohn's disease, unspecified, with other complication"
"K51.00","1","A59170","Ulcerative (chronic) pancolitis without complications"
"K51.011","1","A59170","Ulcerative (chronic) pancolitis with rectal bleeding"
"K51.012","1","A59170","Ulcerative (chronic) pancolitis with intestinal obstruction"
"K51.013","1","A59170","Ulcerative (chronic) pancolitis with fistula"
"K51.014","1","A59170","Ulcerative (chronic) pancolitis with abscess"
"K51.018","1","A59170","Ulcerative (chronic) pancolitis with other complication"
"K52.0","1","A59170","Gastroenteritis and colitis due to radiation"
"K70.2","1","A59170","Alcoholic fibrosis and sclerosis of liver"
"K70.30","1","A59170","Alcoholic cirrhosis of liver without ascites"
"K70.31","1","A59170","Alcoholic cirrhosis of liver with ascites"
"K74.1","1","A59170","Hepatic sclerosis"
"K74.2","1","A59170","Hepatic fibrosis with hepatic sclerosis"
"K74.3","1","A59170","Primary biliary cirrhosis"
"K74.4","1","A59170","Secondary biliary cirrhosis"
"K74.69","1","A59170","Other cirrhosis of liver"
"K90.0","1","A59170","Celiac disease"
"K90.2","1","A59170","Blind loop syndrome, not elsewhere classified"
"K90.3","1","A59170","Pancreatic steatorrhea"
"K90.41","1","A59170","Non-celiac gluten sensitivity"
"K90.49","1","A59170","Malabsorption due to intolerance, not elsewhere classified"
"K90.821","1","A59170","Short bowel syndrome with colon in continuity"
"K90.822","1","A59170","Short bowel syndrome without colon in continuity"
"K90.829","1","A59170","Short bowel syndrome, unspecified"
"K90.83","1","A59170","Intestinal failure"
"K90.89","1","A59170","Other intestinal malabsorption"
"K90.9","1","A59170","Intestinal malabsorption, unspecified"
"K91.2","1","A59170","Postsurgical malabsorption, not elsewhere classified"
"M80.00XA","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture"
"M80.00XD","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with routine healing"
"M80.00XG","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with delayed healing"
"M80.00XK","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with nonunion"
"M80.00XP","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with malunion"
"M80.00XS","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified site, sequela"
"M80.011A","1","A59170","Age-related osteoporosis with current pathological fracture, right shoulder, initial encounter for fracture"
"M80.011D","1","A59170","Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with routine healing"
"M80.011G","1","A59170","Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing"
"M80.011K","1","A59170","Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion"
"M80.011P","1","A59170","Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with malunion"
"M80.011S","1","A59170","Age-related osteoporosis with current pathological fracture, right shoulder, sequela"
"M80.012A","1","A59170","Age-related osteoporosis with current pathological fracture, left shoulder, initial encounter for fracture"
"M80.012D","1","A59170","Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with routine healing"
"M80.012G","1","A59170","Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing"
"M80.012K","1","A59170","Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with nonunion"
"M80.012P","1","A59170","Age-related osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with malunion"
"M80.012S","1","A59170","Age-related osteoporosis with current pathological fracture, left shoulder, sequela"
"M80.019A","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified shoulder, initial encounter for fracture"
"M80.019D","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with routine healing"
"M80.019G","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with delayed healing"
"M80.019K","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with nonunion"
"M80.019P","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with malunion"
"M80.019S","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified shoulder, sequela"
"M80.021A","1","A59170","Age-related osteoporosis with current pathological fracture, right humerus, initial encounter for fracture"
"M80.021D","1","A59170","Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with routine healing"
"M80.021G","1","A59170","Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with delayed healing"
"M80.021K","1","A59170","Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with nonunion"
"M80.021P","1","A59170","Age-related osteoporosis with current pathological fracture, right humerus, subsequent encounter for fracture with malunion"
"M80.021S","1","A59170","Age-related osteoporosis with current pathological fracture, right humerus, sequela"
"M80.022A","1","A59170","Age-related osteoporosis with current pathological fracture, left humerus, initial encounter for fracture"
"M80.022D","1","A59170","Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with routine healing"
"M80.022G","1","A59170","Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with delayed healing"
"M80.022K","1","A59170","Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with nonunion"
"M80.022P","1","A59170","Age-related osteoporosis with current pathological fracture, left humerus, subsequent encounter for fracture with malunion"
"M80.022S","1","A59170","Age-related osteoporosis with current pathological fracture, left humerus, sequela"
"M80.029A","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified humerus, initial encounter for fracture"
"M80.029D","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with routine healing"
"M80.029G","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with delayed healing"
"M80.029K","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with nonunion"
"M80.029P","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with malunion"
"M80.029S","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified humerus, sequela"
"M80.031A","1","A59170","Age-related osteoporosis with current pathological fracture, right forearm, initial encounter for fracture"
"M80.031D","1","A59170","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with routine healing"
"M80.031G","1","A59170","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with delayed healing"
"M80.031K","1","A59170","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with nonunion"
"M80.031P","1","A59170","Age-related osteoporosis with current pathological fracture, right forearm, subsequent encounter for fracture with malunion"
"M80.031S","1","A59170","Age-related osteoporosis with current pathological fracture, right forearm, sequela"
"M80.032A","1","A59170","Age-related osteoporosis with current pathological fracture, left forearm, initial encounter for fracture"
"M80.032D","1","A59170","Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with routine healing"
"M80.032G","1","A59170","Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with delayed healing"
"M80.032K","1","A59170","Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with nonunion"
"M80.032P","1","A59170","Age-related osteoporosis with current pathological fracture, left forearm, subsequent encounter for fracture with malunion"
"M80.032S","1","A59170","Age-related osteoporosis with current pathological fracture, left forearm, sequela"
"M80.039A","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified forearm, initial encounter for fracture"
"M80.039D","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with routine healing"
"M80.039G","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with delayed healing"
"M80.039K","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with nonunion"
"M80.039P","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified forearm, subsequent encounter for fracture with malunion"
"M80.039S","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified forearm, sequela"
"M80.041A","1","A59170","Age-related osteoporosis with current pathological fracture, right hand, initial encounter for fracture"
"M80.041D","1","A59170","Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with routine healing"
"M80.041G","1","A59170","Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with delayed healing"
"M80.041K","1","A59170","Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with nonunion"
"M80.041P","1","A59170","Age-related osteoporosis with current pathological fracture, right hand, subsequent encounter for fracture with malunion"
"M80.041S","1","A59170","Age-related osteoporosis with current pathological fracture, right hand, sequela"
"M80.042A","1","A59170","Age-related osteoporosis with current pathological fracture, left hand, initial encounter for fracture"
"M80.042D","1","A59170","Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with routine healing"
"M80.042G","1","A59170","Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with delayed healing"
"M80.042K","1","A59170","Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with nonunion"
"M80.042P","1","A59170","Age-related osteoporosis with current pathological fracture, left hand, subsequent encounter for fracture with malunion"
"M80.042S","1","A59170","Age-related osteoporosis with current pathological fracture, left hand, sequela"
"M80.049A","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified hand, initial encounter for fracture"
"M80.049D","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with routine healing"
"M80.049G","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with delayed healing"
"M80.049K","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with nonunion"
"M80.049P","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified hand, subsequent encounter for fracture with malunion"
"M80.049S","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified hand, sequela"
"M80.051A","1","A59170","Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture"
"M80.051D","1","A59170","Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with routine healing"
"M80.051G","1","A59170","Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with delayed healing"
"M80.051K","1","A59170","Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with nonunion"
"M80.051P","1","A59170","Age-related osteoporosis with current pathological fracture, right femur, subsequent encounter for fracture with malunion"
"M80.051S","1","A59170","Age-related osteoporosis with current pathological fracture, right femur, sequela"
"M80.052A","1","A59170","Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture"
"M80.052D","1","A59170","Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with routine healing"
"M80.052G","1","A59170","Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with delayed healing"
"M80.052K","1","A59170","Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with nonunion"
"M80.052P","1","A59170","Age-related osteoporosis with current pathological fracture, left femur, subsequent encounter for fracture with malunion"
"M80.052S","1","A59170","Age-related osteoporosis with current pathological fracture, left femur, sequela"
"M80.059A","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture"
"M80.059D","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with routine healing"
"M80.059G","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with delayed healing"
"M80.059K","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with nonunion"
"M80.059P","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified femur, subsequent encounter for fracture with malunion"
"M80.059S","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified femur, sequela"
"M80.061A","1","A59170","Age-related osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture"
"M80.061D","1","A59170","Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with routine healing"
"M80.061G","1","A59170","Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with delayed healing"
"M80.061K","1","A59170","Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with nonunion"
"M80.061P","1","A59170","Age-related osteoporosis with current pathological fracture, right lower leg, subsequent encounter for fracture with malunion"
"M80.061S","1","A59170","Age-related osteoporosis with current pathological fracture, right lower leg, sequela"
"M80.062A","1","A59170","Age-related osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture"
"M80.062D","1","A59170","Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with routine healing"
"M80.062G","1","A59170","Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with delayed healing"
"M80.062K","1","A59170","Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with nonunion"
"M80.062P","1","A59170","Age-related osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with malunion"
"M80.062S","1","A59170","Age-related osteoporosis with current pathological fracture, left lower leg, sequela"
"M80.069A","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified lower leg, initial encounter for fracture"
"M80.069D","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with routine healing"
"M80.069G","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with delayed healing"
"M80.069K","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with nonunion"
"M80.069P","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with malunion"
"M80.069S","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified lower leg, sequela"
"M80.071A","1","A59170","Age-related osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture"
"M80.071D","1","A59170","Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with routine healing"
"M80.071G","1","A59170","Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with delayed healing"
"M80.071K","1","A59170","Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with nonunion"
"M80.071P","1","A59170","Age-related osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with malunion"
"M80.071S","1","A59170","Age-related osteoporosis with current pathological fracture, right ankle and foot, sequela"
"M80.072A","1","A59170","Age-related osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture"
"M80.072D","1","A59170","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with routine healing"
"M80.072G","1","A59170","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with delayed healing"
"M80.072K","1","A59170","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with nonunion"
"M80.072P","1","A59170","Age-related osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with malunion"
"M80.072S","1","A59170","Age-related osteoporosis with current pathological fracture, left ankle and foot, sequela"
"M80.079A","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, initial encounter for fracture"
"M80.079D","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with routine healing"
"M80.079G","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with delayed healing"
"M80.079K","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with nonunion"
"M80.079P","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with malunion"
"M80.079S","1","A59170","Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, sequela"
"M80.08XA","1","A59170","Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
"M80.08XD","1","A59170","Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing"
"M80.08XG","1","A59170","Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with delayed healing"
"M80.08XK","1","A59170","Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with nonunion"
"M80.08XP","1","A59170","Age-related osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with malunion"
"M80.08XS","1","A59170","Age-related osteoporosis with current pathological fracture, vertebra(e), sequela"
"M80.0AXA","1","A59170","Age-related osteoporosis with current pathological fracture, other site, initial encounter for fracture"
"M80.0AXD","1","A59170","Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with routine healing"
"M80.0AXG","1","A59170","Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with delayed healing"
"M80.0AXK","1","A59170","Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with nonunion"
"M80.0AXP","1","A59170","Age-related osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with malunion"
"M80.0AXS","1","A59170","Age-related osteoporosis with current pathological fracture, other site, sequela"
"M80.0B1A","1","A59170","Age-related osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture"
"M80.0B1G","1","A59170","Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with delayed healing"
"M80.0B1K","1","A59170","Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with nonunion"
"M80.0B1P","1","A59170","Age-related osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with malunion"
"M80.0B1S","1","A59170","Age-related osteoporosis with current pathological fracture, right pelvis, sequela"
"M80.0B2A","1","A59170","Age-related osteoporosis with current pathological fracture, left pelvis, initial encounter for fracture"
"M80.0B2G","1","A59170","Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with delayed healing"
"M80.0B2K","1","A59170","Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with nonunion"
"M80.0B2P","1","A59170","Age-related osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with malunion"
"M80.0B2S","1","A59170","Age-related osteoporosis with current pathological fracture, left pelvis, sequela"
"M80.80XA","1","A59170","Other osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture"
"M80.80XD","1","A59170","Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with routine healing"
"M80.80XG","1","A59170","Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with delayed healing"
"M80.80XK","1","A59170","Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with nonunion"
"M80.80XP","1","A59170","Other osteoporosis with current pathological fracture, unspecified site, subsequent encounter for fracture with malunion"
"M80.80XS","1","A59170","Other osteoporosis with current pathological fracture, unspecified site, sequela"
"M80.811A","1","A59170","Other osteoporosis with current pathological fracture, right shoulder, initial encounter for fracture"
"M80.811D","1","A59170","Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with routine healing"
"M80.811G","1","A59170","Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with delayed healing"
"M80.811K","1","A59170","Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion"
"M80.811P","1","A59170","Other osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with malunion"
"M80.811S","1","A59170","Other osteoporosis with current pathological fracture, right shoulder, sequela"
"M80.812A","1","A59170","Other osteoporosis with current pathological fracture, left shoulder, initial encounter for fracture"
"M80.812D","1","A59170","Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with routine healing"
"M80.812G","1","A59170","Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing"
"M80.812K","1","A59170","Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with nonunion"
"M80.812P","1","A59170","Other osteoporosis with current pathological fracture, left shoulder, subsequent encounter for fracture with malunion"
"M80.812S","1","A59170","Other osteoporosis with current pathological fracture, left shoulder, sequela"
"M80.819A","1","A59170","Other osteoporosis with current pathological fracture, unspecified shoulder, initial encounter for fracture"
"M80.819D","1","A59170","Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with routine healing"
"M80.819G","1","A59170","Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with delayed healing"
"M80.819K","1","A59170","Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with nonunion"
"M80.819P","1","A59170","Other osteoporosis with current pathological fracture, unspecified shoulder, subsequent encounter for fracture with malunion"
