"code","group","article","description"
"A15.0","1","A59170","Tuberculosis of lung"
"A15.4","1","A59170","Tuberculosis of intrathoracic lymph nodes"
"A15.5","1","A59170","Tuberculosis of larynx, trachea and bronchus"
"A15.6","1","A59170","Tuberculous pleurisy"
"A15.7","1","A59170","Primary respiratory tuberculosis"
"A15.8","1","A59170","Other respiratory tuberculosis"
"A17.0","1","A59170","Tuberculous meningitis"
"A17.1","1","A59170","Meningeal tuberculoma"
"A17.81","1","A59170","Tuberculoma of brain and spinal cord"
"A17.82","1","A59170","Tuberculous meningoencephalitis"
"A17.89","1","A59170","Other tuberculosis of nervous system"
"A17.9","1","A59170","Tuberculosis of nervous system, unspecified"
"A18.01","1","A59170","Tuberculosis of spine"
"A18.02","1","A59170","Tuberculous arthritis of other joints"
"A18.03","1","A59170","Tuberculosis of other bones"
"A18.09","1","A59170","Other musculoskeletal tuberculosis"
"A18.10","1","A59170","Tuberculosis of genitourinary system, unspecified"
"A18.11","1","A59170","Tuberculosis of kidney and ureter"
"A18.12","1","A59170","Tuberculosis of bladder"
"A18.13","1","A59170","Tuberculosis of other urinary organs"
"A18.14","1","A59170","Tuberculosis of prostate"
"A18.15","1","A59170","Tuberculosis of other male genital organs"
"A18.16","1","A59170","Tuberculosis of cervix"
"A18.17","1","A59170","Tuberculous female pelvic inflammatory disease"
"A18.18","1","A59170","Tuberculosis of other female genital organs"
"A18.2","1","A59170","Tuberculous peripheral lymphadenopathy"
"A18.31","1","A59170","Tuberculous peritonitis"
"A18.32","1","A59170","Tuberculous enteritis"
"A18.39","1","A59170","Retroperitoneal tuberculosis"
"A18.4","1","A59170","Tuberculosis of skin and subcutaneous tissue"
"A18.50","1","A59170","Tuberculosis of eye, unspecified"
"A18.51","1","A59170","Tuberculous episcleritis"
"A18.52","1","A59170","Tuberculous keratitis"
"A18.53","1","A59170","Tuberculous chorioretinitis"
"A18.54","1","A59170","Tuberculous iridocyclitis"
"A18.59","1","A59170","Other tuberculosis of eye"
"A18.6","1","A59170","Tuberculosis of (inner) (middle) ear"
"A18.7","1","A59170","Tuberculosis of adrenal glands"
"A18.81","1","A59170","Tuberculosis of thyroid gland"
"A18.82","1","A59170","Tuberculosis of other endocrine glands"
"A18.83","1","A59170","Tuberculosis of digestive tract organs, not elsewhere classified"
"A18.84","1","A59170","Tuberculosis of heart"
"A18.85","1","A59170","Tuberculosis of spleen"
"A18.89","1","A59170","Tuberculosis of other sites"
"A19.0","1","A59170","Acute miliary tuberculosis of a single specified site"
"A19.1","1","A59170","Acute miliary tuberculosis of multiple sites"
"B38.0","1","A59170","Acute pulmonary coccidioidomycosis"
"B38.1","1","A59170","Chronic pulmonary coccidioidomycosis"
"B38.2","1","A59170","Pulmonary coccidioidomycosis, unspecified"
"B38.3","1","A59170","Cutaneous coccidioidomycosis"
"B38.4","1","A59170","Coccidioidomycosis meningitis"
