"code","group","article","description"
"C82.43","1","A57736","Follicular lymphoma grade IIIb, intra-abdominal lymph nodes"
"C82.44","1","A57736","Follicular lymphoma grade IIIb, lymph nodes of axilla and upper limb"
"C82.45","1","A57736","Follicular lymphoma grade IIIb, lymph nodes of inguinal region and lower limb"
"C82.46","1","A57736","Follicular lymphoma grade IIIb, intrapelvic lymph nodes"
"C82.47","1","A57736","Follicular lymphoma grade IIIb, spleen"
"C82.48","1","A57736","Follicular lymphoma grade IIIb, lymph nodes of multiple sites"
"C82.49","1","A57736","Follicular lymphoma grade IIIb, extranodal and solid organ sites"
"C82.51","1","A57736","Diffuse follicle center lymphoma, lymph nodes of head, face, and neck"
"C82.52","1","A57736","Diffuse follicle center lymphoma, intrathoracic lymph nodes"
"C82.53","1","A57736","Diffuse follicle center lymphoma, intra-abdominal lymph nodes"
"C82.54","1","A57736","Diffuse follicle center lymphoma, lymph nodes of axilla and upper limb"
"C82.55","1","A57736","Diffuse follicle center lymphoma, lymph nodes of inguinal region and lower limb"
"C82.56","1","A57736","Diffuse follicle center lymphoma, intrapelvic lymph nodes"
"C82.57","1","A57736","Diffuse follicle center lymphoma, spleen"
"C82.58","1","A57736","Diffuse follicle center lymphoma, lymph nodes of multiple sites"
"C82.59","1","A57736","Diffuse follicle center lymphoma, extranodal and solid organ sites"
"C82.61","1","A57736","Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck"
"C82.62","1","A57736","Cutaneous follicle center lymphoma, intrathoracic lymph nodes"
"C82.63","1","A57736","Cutaneous follicle center lymphoma, intra-abdominal lymph nodes"
"C82.64","1","A57736","Cutaneous follicle center lymphoma, lymph nodes of axilla and upper limb"
"C82.65","1","A57736","Cutaneous follicle center lymphoma, lymph nodes of inguinal region and lower limb"
"C82.66","1","A57736","Cutaneous follicle center lymphoma, intrapelvic lymph nodes"
"C82.67","1","A57736","Cutaneous follicle center lymphoma, spleen"
"C82.68","1","A57736","Cutaneous follicle center lymphoma, lymph nodes of multiple sites"
"C82.69","1","A57736","Cutaneous follicle center lymphoma, extranodal and solid organ sites"
"C82.81","1","A57736","Other types of follicular lymphoma, lymph nodes of head, face, and neck"
"C82.82","1","A57736","Other types of follicular lymphoma, intrathoracic lymph nodes"
"C82.83","1","A57736","Other types of follicular lymphoma, intra-abdominal lymph nodes"
"C82.84","1","A57736","Other types of follicular lymphoma, lymph nodes of axilla and upper limb"
"C82.85","1","A57736","Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb"
"C82.86","1","A57736","Other types of follicular lymphoma, intrapelvic lymph nodes"
"C82.87","1","A57736","Other types of follicular lymphoma, spleen"
"C82.88","1","A57736","Other types of follicular lymphoma, lymph nodes of multiple sites"
"C82.89","1","A57736","Other types of follicular lymphoma, extranodal and solid organ sites"
"C82.91","1","A57736","Follicular lymphoma, unspecified, lymph nodes of head, face, and neck"
"C82.92","1","A57736","Follicular lymphoma, unspecified, intrathoracic lymph nodes"
"C82.93","1","A57736","Follicular lymphoma, unspecified, intra-abdominal lymph nodes"
