"code","group","article","description"
"A15.0","1","A57484","Tuberculosis of lung"
"A15.4","1","A57484","Tuberculosis of intrathoracic lymph nodes"
"A15.5","1","A57484","Tuberculosis of larynx, trachea and bronchus"
"A15.6","1","A57484","Tuberculous pleurisy"
"A15.7","1","A57484","Primary respiratory tuberculosis"
"A15.8","1","A57484","Other respiratory tuberculosis"
"A17.0","1","A57484","Tuberculous meningitis"
"A17.1","1","A57484","Meningeal tuberculoma"
"A17.81","1","A57484","Tuberculoma of brain and spinal cord"
"A17.82","1","A57484","Tuberculous meningoencephalitis"
"A17.83","1","A57484","Tuberculous neuritis"
"A17.89","1","A57484","Other tuberculosis of nervous system"
"A17.9","1","A57484","Tuberculosis of nervous system, unspecified"
"A18.01","1","A57484","Tuberculosis of spine"
"A18.02","1","A57484","Tuberculous arthritis of other joints"
"A18.03","1","A57484","Tuberculosis of other bones"
"A18.09","1","A57484","Other musculoskeletal tuberculosis"
"A18.10","1","A57484","Tuberculosis of genitourinary system, unspecified"
"A18.11","1","A57484","Tuberculosis of kidney and ureter"
"A18.12","1","A57484","Tuberculosis of bladder"
"A18.13","1","A57484","Tuberculosis of other urinary organs"
"A18.14","1","A57484","Tuberculosis of prostate"
"A18.15","1","A57484","Tuberculosis of other male genital organs"
"A18.16","1","A57484","Tuberculosis of cervix"
"A18.17","1","A57484","Tuberculous female pelvic inflammatory disease"
"A18.18","1","A57484","Tuberculosis of other female genital organs"
"A18.2","1","A57484","Tuberculous peripheral lymphadenopathy"
"A18.31","1","A57484","Tuberculous peritonitis"
"A18.32","1","A57484","Tuberculous enteritis"
"A18.39","1","A57484","Retroperitoneal tuberculosis"
"A18.4","1","A57484","Tuberculosis of skin and subcutaneous tissue"
"A18.50","1","A57484","Tuberculosis of eye, unspecified"
"A18.51","1","A57484","Tuberculous episcleritis"
"A18.52","1","A57484","Tuberculous keratitis"
"A18.53","1","A57484","Tuberculous chorioretinitis"
"A18.54","1","A57484","Tuberculous iridocyclitis"
"A18.59","1","A57484","Other tuberculosis of eye"
"A18.6","1","A57484","Tuberculosis of (inner) (middle) ear"
"A18.7","1","A57484","Tuberculosis of adrenal glands"
"A18.81","1","A57484","Tuberculosis of thyroid gland"
"A18.82","1","A57484","Tuberculosis of other endocrine glands"
"A18.83","1","A57484","Tuberculosis of digestive tract organs, not elsewhere classified"
"A18.84","1","A57484","Tuberculosis of heart"
"A18.85","1","A57484","Tuberculosis of spleen"
"A18.89","1","A57484","Tuberculosis of other sites"
"A19.0","1","A57484","Acute miliary tuberculosis of a single specified site"
"A19.1","1","A57484","Acute miliary tuberculosis of multiple sites"
"A19.8","1","A57484","Other miliary tuberculosis"
"B38.0","1","A57484","Acute pulmonary coccidioidomycosis"
"B38.1","1","A57484","Chronic pulmonary coccidioidomycosis"
"B38.2","1","A57484","Pulmonary coccidioidomycosis, unspecified"
"B38.3","1","A57484","Cutaneous coccidioidomycosis"
"B38.4","1","A57484","Coccidioidomycosis meningitis"
"B38.7","1","A57484","Disseminated coccidioidomycosis"
"B38.81","1","A57484","Prostatic coccidioidomycosis"
